Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0308232	738.059	330.261	346.32	383.149	131.902	145.875
FBtr0112879	1175.676	139.489	162.813	132.525	48.242	52.024
FBtr0074555	44.618	14.767	13.464	87.891	178.924	143.428
FBtr0346093	28.829	56.11	27.734	20.145	11.161	14.593
FBtr0310340	51.222	25.355	22.923	26.73	18.059	26.009
FBtr0306202	1.612	0.106	1.949	1.65	1.221	1.004
FBtr0306205	3.871	1.139	1.644	5.896	2.783	1.231
FBtr0306201	1.6	0.106	1.929	1.636	1.214	1
FBtr0306203	0.523	0.445	1.306	1.271	0.687	0.788
FBtr0306200	1.223	0.105	1.551	1.683	0.839	0.296
FBtr0306204	1.638	0.105	1.489	1.484	1.02	0.786
FBtr0340192	0.215	0.444	0.933	1.283	0.345	0.113
FBtr0306199	0.523	0.445	1.297	1.262	0.685	0.786
FBtr0346115	2.796	0.107	1.903	2.836	1.206	0.995
FBtr0345422	73.523	8.197	19.079	7.794	19.056	41.535
FBtr0086710	1405.477	694.803	621.921	1411.206	404.944	534.465
FBtr0075291	8	2	4	10	4	4
FBtr0075899	1337	265	266	1288	319	308
FBtr0080149	134	39	51	120	24	35
FBtr0070532	1.688	1.244	3.723	9.18	0.767	3.56
FBtr0332305	38.312	10.756	11.277	11.82	6.233	8.44
FBtr0334946	1049.129	271.397	477.279	827.654	347.546	357.608
FBtr0078716	1912.033	747.82	777.721	2891.344	942.542	869.392
FBtr0329995	18.489	2.502	10.373	2.248	2.453	10.989
FBtr0086787	499.511	133.498	184.627	497.752	113.547	136.011
FBtr0086259	1331.651	588.172	602.773	1306.726	437.55	489.309
FBtr0343028	1403.331	167.83	226.197	885.338	130.404	138.881
FBtr0112753	385.016	129.992	128.417	181.963	85.079	99.03
FBtr0112755	549.787	151.328	52.64	795.039	103.61	129.19
FBtr0343029	655.253	210.262	158.147	536.188	221.354	185.682
FBtr0331304	771.639	783.923	954.598	1189.59	781.81	682.035
FBtr0308591	130.643	54.431	70.013	134.74	53.415	41.633
FBtr0112754	211.206	100.614	69.118	222.026	93.209	44.286
FBtr0089209	20	3	2	12	2	3
FBtr0082403	4552	1697	2122	6079.955	2012	2408
FBtr0087818	1.069	0.502	0	1.592	0.502	0.502
FBtr0306584	5.931	0.498	0	1.408	0.498	0.498
FBtr0339100	54.689	25.075	17.404	139.732	7.37	9.071
FBtr0339099	245.533	51.129	83.162	105.986	68.552	49.633
FBtr0339102	262.18	170.229	196.078	270.372	118.512	156.406
FBtr0339101	61.469	9.108	13.105	56.809	20.509	10.369
FBtr0084614	0	0	0	0	0	0
FBtr0301695	0	0	0	0	0	0
FBtr0343710	0	0	0	0	0	0
FBtr0346514	0	0	0	0	0	0
FBtr0076497	4	6	3	11	1	1
FBtr0070565	5.393	0.001	0.5	3.667	1.99	1.32
FBtr0332495	5.649	0.001	0.501	3.777	2.016	1.33
FBtr0333371	76.335	31.752	40.424	89.293	23.146	24.469
FBtr0078264	24.543	9.574	10.844	10.238	3.655	17.805
FBtr0300873	50.122	13.674	18.731	30.469	12.199	3.726
FBtr0079599	873.612	334.455	341	953.822	291	299.826
FBtr0082545	0	0	0	0	0	0
FBtr0301723	0.719	0	0	0.257	0	0.257
FBtr0301722	0.763	0	0	0.247	0	0.247
FBtr0301724	0.764	0	0	0.247	0	0.247
FBtr0339639	0.755	0	0	0.249	0	0.249
FBtr0080625	0.997	0.5	0	1.49	0	0.5
FBtr0343676	1.004	0.5	0	1.513	0	0.5
FBtr0088688	1262.755	385.6	486.468	824.702	279.413	343.451
FBtr0307344	4.769	1.83	4.881	13.933	1.811	1.84
FBtr0080965	0	0	0	0	0	0
FBtr0071067	50	6	4	63	20	14
FBtr0075284	1	5	4	2	2	1
FBtr0088582	811	347	406	906	315	353
FBtr0347542	51.838	38.526	40.647	113.862	32.9	34.876
FBtr0081687	2612.38	1047.305	1256.17	2795.264	804.792	949.254
FBtr0074786	83.782	50.628	53.407	66.71	37.705	37.746
FBtr0346016	147.242	96.372	107.593	184.29	58.295	58.254
FBtr0075863	1663.375	728.018	847.04	1855.959	858.537	945.736
FBtr0321318	32.625	11.982	6.96	15.041	10.463	9.264
FBtr0346042	337.014	211.368	254.051	211.359	127.367	212.153
FBtr0074793	2846.707	1187.629	1362.949	2681.629	892.633	1035.847
FBtr0084128	0	0	1	1	1	0
FBtr0073179	79.482	65.333	46.67	50.82	30.291	45.586
FBtr0333142	8317.634	2684.199	2768.264	5500.938	2774.731	1839.898
FBtr0073178	508.637	264.161	150.193	112.056	169.37	168.823
FBtr0073177	19860.167	8356.238	9876.712	18584.465	5638.693	7471.886
FBtr0081717	2053	665	804	2256	660	732
FBtr0334838	6.383	0.841	1.858	1.43	1.587	1.326
FBtr0079439	3.057	0.744	1.257	1.062	1.149	1.03
FBtr0345288	1.902	0.743	1.25	1.769	1.144	1.026
FBtr0302587	2.1	0.829	1.762	1.376	1.522	1.285
FBtr0079440	5.558	0.843	1.874	4.362	1.599	1.334
FBtr0088178	113.35	79.423	111.295	70.044	85.262	132.937
FBtr0088179	724.206	263.776	251.695	840.228	220.526	191.421
FBtr0088180	359.103	101.744	112.01	441.551	174.212	124.643
FBtr0079166	2.551	1.005	0.5	4.142	3.075	2.03
FBtr0079165	2.449	0.995	0.5	3.858	2.925	1.97
FBtr0344449	0.014	0	0	4	0.02	1
FBtr0303412	1.986	0	0	0	0.98	0
FBtr0071264	1	1	3	1	0	0
FBtr0111115	830.4	142.369	154.896	592.436	104.775	165.442
FBtr0086082	639.498	193.718	205.02	451.343	257.57	192.315
FBtr0335258	227.271	59.86	52.251	238.358	32.074	87.102
FBtr0086083	265.756	172.677	208.447	402.262	58.848	101.494
FBtr0088320	0	0	0	0	0	0
FBtr0088155	912	379	466	1408	394	480
FBtr0071610	871.948	298.5	330.915	1233	440.526	352.136
FBtr0080040	7.822	4.713	4.141	7.667	5.227	2.932
FBtr0337008	8.582	5.421	4.504	13.288	11.334	2.723
FBtr0080039	9.066	5.109	4.44	8.856	5.727	3.07
FBtr0080041	11.53	5.757	4.916	11.189	4.711	3.275
FBtr0082637	415.716	159.513	181.395	777.68	126.426	157.512
FBtr0087641	3531	1553	1835	3337	1274	1438
FBtr0075629	3194.664	1390.584	1683	3119.376	934.826	1272.723
FBtr0331997	0.995	0	0	0.334	1	0
FBtr0301019	1.003	0	0	0.333	0	0
FBtr0331996	1.002	0	0	0.333	0	0
FBtr0309855	0	0	0	0	0	0
FBtr0076042	0	0	0	1	0	0
FBtr0307521	998.614	217.347	230.081	2211.984	397.885	338.238
FBtr0307520	1213.436	655.157	837.192	3760.759	1560.576	1377.843
FBtr0087993	40	13	19	31	10	11
FBtr0339072	180.368	52.045	68.303	645.265	41.372	22.453
FBtr0339073	152.116	41.009	72.17	47.492	39.653	56.603
FBtr0339071	865.515	356.946	432.527	359.243	225.975	273.944
FBtr0100062	0	0	0	0	0	0
FBtr0339235	0	0	0	0	0	0
FBtr0087794	3.366	2.781	0.5	5.261	1.014	1.542
FBtr0339747	18.38	3.93	0.5	25.59	0.986	1.458
FBtr0074377	4.635	5.163	4.993	0.028	5.081	0.047
FBtr0112993	1905.365	722.837	906.007	1824.972	503.919	742.953
FBtr0083789	3	1	1	1	0	0
FBtr0091692	9.024	2	4	11	2	4
FBtr0071890	0	0	0	2	0	0
FBtr0077130	1.676	0.013	0.011	1.029	0	0.007
FBtr0346640	1.523	0.013	0.011	0.983	0	0.007
FBtr0089956	2394.909	1686.538	1702.783	3268.241	1823.05	1350.214
FBtr0310277	238.162	55.842	57.557	266.885	76.657	74.001
FBtr0336617	1737.026	192.478	284.699	1710.634	256.275	177.824
FBtr0336616	267.035	133.326	125.091	936.5	502.018	400.939
FBtr0301483	0.733	0	0	0	0	0
FBtr0084259	0.267	0	0	0	0	0
FBtr0334757	2.753	0.669	0.333	2.045	0	0.333
FBtr0334756	2.526	0.664	0.334	1.926	0	0.334
FBtr0080485	2.721	0.668	0.333	2.029	0	0.333
FBtr0301017	11.934	4.979	2.495	11.188	3.987	3.319
FBtr0301016	12.111	5.021	2.505	16.938	4.013	3.681
FBtr0076694	1004.767	369.729	434.502	871.253	303.462	339.451
FBtr0301645	15	3	4	9	4	1
FBtr0302495	14.162	14.677	5.719	9.845	1.383	1.423
FBtr0088579	406.838	167.323	174.281	342.155	85.617	137.577
FBtr0078205	246.888	168.534	150.883	159.373	122.561	197.902
FBtr0113436	641.805	206.829	224.467	656.757	177.266	152.179
FBtr0078202	588.815	133.509	145.762	700.475	76.024	113.251
FBtr0078203	152.821	75.999	132.021	55.798	94.221	54.002
FBtr0078204	163.213	67.009	88.02	396.792	138.527	147.667
FBtr0070115	674	274	313	688	254	271
FBtr0086531	2848	1202	1409	2830	1057	1164
FBtr0074226	1346.333	654	788	920.845	431	464
FBtr0078602	1.001	0	0	0	0	0
FBtr0070763	1591	528	681	1519	495	584
FBtr0310619	122.609	102.023	163.715	315.155	33.023	63.367
FBtr0070209	936.796	316.11	337.285	805.745	328.977	327.999
FBtr0310345	0	0	0	1	0	0
FBtr0082722	1040	398	526	1181	387	468
FBtr0076173	12	4	1	9	1	1
FBtr0072151	1114	551	657	1650	587	688
FBtr0077030	1205.915	501.83	607.437	1389.305	465	586.382
FBtr0087461	3265	998	1117	3411	1065	1053
FBtr0336762	924.63	297.8	285.963	842.265	351.902	307.009
FBtr0078752	6384.85	2537.2	2789.227	8368.898	2601.098	2237.997
FBtr0290328	11.055	2	0	11.016	2.002	1
FBtr0070233	427	185	205	563	159	188
FBtr0087775	3457.962	1430.744	1720.653	3839.624	1365.218	1614.032
FBtr0344199	165.149	240.104	202.779	299.81	240.246	159.071
FBtr0087774	319.269	149.124	148.636	308.043	140.231	110.88
FBtr0339755	153.327	53.871	47.511	187.452	68.677	74.716
FBtr0074028	163.142	51.773	46	151.421	65.95	52.768
FBtr0070339	2870	1398	1729	2909.301	1189.463	1216
FBtr0079876	2614.183	1019	1287	2511	926	1201
FBtr0083771	2151	810	809	2470	771	819
