Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0301335	0.0346858	3.18313e-7	9.55687	0	10.4008	0
FBtr0331454	1377.18	247.816	198.305	865.554	149.234	187.437
FBtr0331453	7.56171	19.1846	0	60.9651	0	0
FBtr0079782	2900.26	797.999	989.695	2141.48	863.178	852.563
FBtr0078127	10	7	6	8	3	3
FBtr0085764	0	0	0	0	0	0
FBtr0310282	0	0	0	26.4924	0	19.5274
FBtr0310283	0	0	0.0399236	0	104.991	1.44538
FBtr0070239	1508.39	734.159	741.907	1124.07	256.395	381.347
FBtr0342731	6.88114e-4	1.40669e-7	92.0528	1.883e-4	129.614	54.6805
FBtr0303264	12.5466	23.1003	0	23.4417	0	0
FBtr0070241	42.0669	13.7404	0	0	0	0
FBtr0452130	206.891	68.0196	91.8128	405.607	161.031	120.765
FBtr0452131	221.902	102.914	68.5077	260.308	51.4215	90.0884
FBtr0072949	82	34	40	76	35	36
FBtr0111169	50	5	1	13	11	6
FBtr0301743	2	0	0	3	1	0
FBtr0330078	159.624	58.4865	70.2063	142.433	50.0706	56.2449
FBtr0072577	159.624	58.4865	70.2063	142.433	50.0706	56.2449
FBtr0308207	7	3	3	11	0.141812	2
FBtr0332989	0	0	0	0	0	0
FBtr0332988	0	0	0	0	2.85819	0
FBtr0072208	456	193	229	373	125	140
FBtr0080212	187	66	70	232	49	82
FBtr0085248	79368.3	49943	54222	114716	48792	57964
FBtr0081493	0	0	0	21.3195	0	0
FBtr0081494	5.189e-8	1.15681e-7	2.01902e-7	0	1.04297e-8	3.63365e-8
FBtr0081495	226.358	91.1334	99.144	166.093	71.2936	59.1657
FBtr0073939	69.497	35.2728	38.5883	91.1881	37.3572	38.7456
FBtr0339769	313.503	140.727	149.412	527.812	172.643	162.254
FBtr0112738	691	124	121	436	98	119
FBtr0084176	380	118	157	370	122	111
FBtr0076746	10.0948	5.02763	4.012	30.8832	4.09095	8.01913
FBtr0339897	16.0122	0	0	0	0	0
FBtr0072930	17.4681	0	15.7509	0	15.9041	0
FBtr0302434	206.836	72	72.2588	188	30.1115	47
FBtr0080003	525	171	242	463	156	213
FBtr0329864	116.192	47.3655	28.5781	38.4218	30.2699	48.923
FBtr0086905	964.92	289.56	250.251	459.755	129.405	272.752
FBtr0100863	9125.75	916	880	4329	788	807
FBtr0301013	22.6114	6.0232	9.03755	22.847	7.02571	2.01207
FBtr0086236	458.057	314.18	380.001	643.823	320.881	336.386
FBtr0342718	3.60172	1.8296	1.8208	7.20345	1.8255	1.83232
FBtr0345354	428.902	68.198	56.0156	351.828	7.29316	57.9615
FBtr0345353	102.063	2.98484	3.61512	79.6127	0	8.01343
FBtr0088136	1075.68	448.578	540.461	61.8792	24.8374	65.5745
FBtr0088137	5936.57	2274.85	2559.06	2494.43	1319.83	1404.43
FBtr0305074	123.565	51.872	12.4837	31.8462	13.4154	14.0357
FBtr0339544	24.176	0	0	34.1276	0.0017158	0.0672605
FBtr0309980	13.3326	6	6	6	2	2.68941
FBtr0339471	248.334	62.6989	131.973	289.738	41.7413	62.7533
FBtr0339472	30.6662	56.3011	0.0273291	34.2621	45.2587	54.2467
FBtr0334947	1114.25	594.287	396.337	1654.83	743.061	605.9
FBtr0302091	248.03	88.5376	215.629	52.4407	19.7095	29.3252
FBtr0302092	0	0	0	0	4.97863e-4	1.23763e-8
FBtr0302090	78.3451	10.5345	10.9931	139.009	46.3866	18.6484
FBtr0334948	397.22	111.641	195.041	386.716	118.843	249.127
FBtr0086834	5	3	1	5	3	6
FBtr0308205	3.74577	0	0	5.40704	2.30046	0
FBtr0088594	0	0	0	0	0	0
FBtr0076328	2	1	1	1	0	0
FBtr0082113	1062.6	306.47	371.882	1108.85	264	306
FBtr0332808	8.39796	11.5299	18.1184	44.1455	0	0
FBtr0071366	2860.48	1330.82	1494.18	2871.02	1027.03	1472.25
FBtr0071367	32.1049	97.6025	155.268	59.7154	129.892	72.7847
